Timestamp,Ping Time (ms)
2024-12-09 11:38:53,9.72
2024-12-09 11:38:53,2.28
2024-12-09 11:38:53,2.56
2024-12-09 11:38:53,2.27
2024-12-09 11:38:53,2.48
2024-12-09 11:38:53,2.47
2024-12-09 11:38:54,2.70
2024-12-09 11:38:54,2.40
2024-12-09 11:38:54,2.27
2024-12-09 11:38:54,2.11
2024-12-09 11:38:54,1.96
2024-12-09 11:38:54,2.25
2024-12-09 11:38:54,2.33
2024-12-09 11:38:54,2.50
2024-12-09 11:38:54,2.46
2024-12-09 11:38:54,2.42
2024-12-09 11:38:55,2.31
2024-12-09 11:38:55,2.49
2024-12-09 11:38:55,2.31
2024-12-09 11:38:55,2.32
2024-12-09 11:38:55,2.24
2024-12-09 11:38:55,2.27
2024-12-09 11:38:55,2.26
2024-12-09 11:38:55,2.45
2024-12-09 11:38:55,2.78
2024-12-09 11:38:56,2.67
2024-12-09 11:38:56,2.43
2024-12-09 11:38:56,2.54
2024-12-09 11:38:56,2.73
2024-12-09 11:38:56,2.36
2024-12-09 11:38:56,2.43
2024-12-09 11:38:56,2.88
2024-12-09 11:38:56,2.59
2024-12-09 11:38:56,2.41
2024-12-09 11:38:56,2.76
2024-12-09 11:38:57,2.24
2024-12-09 11:38:57,2.48
2024-12-09 11:38:57,2.40
2024-12-09 11:38:57,2.57
2024-12-09 11:38:57,2.71
2024-12-09 11:38:57,2.47
2024-12-09 11:38:57,2.34
2024-12-09 11:38:57,2.27
2024-12-09 11:38:57,2.38
2024-12-09 11:38:58,2.13
2024-12-09 11:38:58,2.29
2024-12-09 11:38:58,2.11
2024-12-09 11:38:58,2.36
2024-12-09 11:38:58,2.46
2024-12-09 11:38:58,2.49
2024-12-09 11:38:58,2.53
2024-12-09 11:38:58,2.34
2024-12-09 11:38:58,2.33
2024-12-09 11:38:59,2.23
2024-12-09 11:38:59,2.20
2024-12-09 11:38:59,2.26
2024-12-09 11:38:59,2.48
2024-12-09 11:38:59,2.53
2024-12-09 11:38:59,2.52
2024-12-09 11:38:59,2.48
2024-12-09 11:38:59,2.32
2024-12-09 11:38:59,2.49
2024-12-09 11:38:59,2.84
2024-12-09 11:39:00,2.43
2024-12-09 11:39:00,2.44
2024-12-09 11:39:00,2.42
2024-12-09 11:39:00,2.29
2024-12-09 11:39:00,2.48
2024-12-09 11:39:00,2.39
2024-12-09 11:39:00,2.16
2024-12-09 11:39:00,2.43
2024-12-09 11:39:00,2.32
2024-12-09 11:39:01,2.29
